Image 	 Size(Bytes) 	 Luminance 	 Contrast 	 AspectRatio 	 Width(Pixels) 	 Red 	 Green 	 Blue 
30702.jpg 	 159529 	 119.2920 	 0.4161 	 0.664444 	 450 	 104.4103 	 122.4579 	 142.1101 
30703.jpg 	 138824 	 109.2604 	 0.2349 	 0.664444 	 450 	 113.9436 	 111.9899 	 82.8975 
30801.jpg 	 90692 	 177.7689 	 0.0877 	 0.666667 	 450 	 191.1456 	 173.7480 	 163.6293 
30802.jpg 	 111265 	 203.8924 	 0.1461 	 0.664444 	 450 	 224.6959 	 197.9689 	 179.8940 
30901.jpg 	 86333 	 211.5553 	 0.0499 	 0.664444 	 450 	 208.6028 	 220.3423 	 174.0225 
30902.jpg 	 149875 	 127.7656 	 0.2102 	 0.664444 	 450 	 152.8269 	 128.8993 	 56.0939 
30903.jpg 	 134856 	 110.5990 	 0.2576 	 0.664444 	 450 	 113.3056 	 115.9943 	 75.7496 
31001.jpg 	 114233 	 107.2237 	 0.1151 	 0.664444 	 450 	 75.4422 	 118.1288 	 134.5179 
31101.jpg 	 113894 	 135.6696 	 0.1316 	 0.664444 	 450 	 156.5260 	 137.0934 	 73.6040 
42002.jpg 	 158457 	 120.1474 	 0.2248 	 0.666667 	 450 	 116.7659 	 117.3057 	 143.6715 
42026.jpg 	 198733 	 111.9537 	 0.4438 	 0.664444 	 450 	 141.4631 	 100.9458 	 91.2495 
42102.jpg 	 121443 	 123.7809 	 0.1875 	 0.666667 	 450 	 134.8401 	 121.7418 	 105.3117 
42191.jpg 	 206277 	 81.8589 	 0.5317 	 0.664444 	 450 	 92.8920 	 81.0850 	 56.8928 
42200.jpg 	 101063 	 58.7264 	 0.0857 	 0.664444 	 450 	 93.0853 	 45.4177 	 37.2961 
42206.jpg 	 102386 	 160.1341 	 0.2314 	 0.666667 	 450 	 175.8736 	 153.1314 	 154.7298 
42210.jpg 	 92489 	 55.5659 	 0.0752 	 0.664444 	 450 	 66.9107 	 53.5947 	 35.8400 
42215.jpg 	 120633 	 132.3284 	 0.1205 	 0.664444 	 450 	 178.9178 	 116.3247 	 92.6010 
42273.jpg 	 155042 	 180.7728 	 0.3553 	 0.666667 	 450 	 190.2494 	 178.6818 	 166.4913 
42305.jpg 	 148719 	 98.2067 	 0.3378 	 0.664444 	 450 	 113.5043 	 93.5176 	 82.1996 
42308.jpg 	 171341 	 139.0594 	 0.2656 	 0.666667 	 450 	 159.0996 	 135.4237 	 105.0877 
42374.jpg 	 207806 	 94.7812 	 0.4882 	 0.666667 	 450 	 93.7838 	 98.6092 	 77.6463 
42377.jpg 	 144259 	 108.0837 	 0.2347 	 0.666667 	 450 	 112.5016 	 108.3098 	 95.2999 
42382.jpg 	 135561 	 130.1618 	 0.2631 	 0.666667 	 450 	 132.3378 	 130.0781 	 124.8217 
42384.jpg 	 154949 	 142.0944 	 0.2451 	 0.664444 	 450 	 135.5384 	 151.7776 	 109.5172 
42390.jpg 	 189668 	 93.4181 	 0.9177 	 0.666667 	 450 	 98.7895 	 91.7572 	 87.8447 
42393.jpg 	 162360 	 64.4692 	 0.4552 	 0.664444 	 450 	 69.9402 	 60.4147 	 71.0736 
42396.jpg 	 150754 	 91.6236 	 0.3333 	 0.666667 	 450 	 87.6553 	 93.7909 	 90.8625 
42397.jpg 	 119846 	 96.2991 	 0.1932 	 0.664444 	 450 	 106.1048 	 97.0492 	 66.5778 
42411.jpg 	 170581 	 174.8127 	 0.3303 	 0.664444 	 450 	 181.5037 	 175.4824 	 153.6844 
42441.jpg 	 148703 	 136.4758 	 0.3045 	 0.664444 	 450 	 143.7946 	 133.8707 	 130.6841 
42445.jpg 	 111268 	 128.1499 	 0.1157 	 0.666667 	 450 	 150.2185 	 119.8158 	 113.1043 
42446.jpg 	 169926 	 98.9901 	 0.3440 	 0.664444 	 450 	 117.3424 	 92.2526 	 85.4990 
42484.jpg 	 159261 	 116.4880 	 0.3148 	 0.666667 	 450 	 113.9908 	 115.5400 	 127.9007 
42493.jpg 	 108623 	 73.2341 	 0.1120 	 0.666667 	 450 	 75.9944 	 71.2594 	 76.1279 
42514.jpg 	 150559 	 125.5108 	 0.3364 	 0.666667 	 450 	 172.2030 	 112.1842 	 71.6238 
42579.jpg 	 155707 	 112.3488 	 0.3369 	 0.666667 	 450 	 118.8159 	 107.7556 	 119.0225 
42595.jpg 	 140124 	 113.8349 	 0.2551 	 0.664444 	 450 	 122.4990 	 108.8490 	 116.8135 
